Step Type,Gherkin Statement,Parameters,Source File,Description
When,User are on scenare title {string},title (string),web_actions_stepdefs.ts,Logs scenario title
When,Verify field {string} text is {string},fieldName (string) expectedText (string),web_actions_stepdefs.ts,Verifies element text matches expected value
Given,enters {string} text in {string} textbox,txtInput (string) elementName (string),web_actions_stepdefs.ts,Sends text to a textbox (supports placeholders like 500 characters <CURRENT_DATE <DOB <blank>)
When,User updates following information to pup up using {string},buttonName (string) DataTable,web_actions_stepdefs.ts,Updates popup info using button then saves
When,User adds following information to pup up using {string},buttonName (string) DataTable,web_actions_stepdefs.ts,Adds info to popup via button then saves
When,click More Info link and verfiy popup text,DataTable,web_actions_stepdefs.ts,Clicks More Info links and verifies popup title/text
When,click page link and verify new pages opens with title,DataTable,web_actions_stepdefs.ts,Clicks link verifies new tab opens with expected title
When,User selects {string} link on Person Status screen,objName (string),web_actions_stepdefs.ts,Clicks specified link on Person Status screen
When,User inputs information on the {string} screen if exist,objName (string) DataTable,web_actions_stepdefs.ts,Inputs data on screen if it exists
When,User inputs information on the {string} screen,objName (string) DataTable,web_actions_stepdefs.ts,Inputs data on specified screen
When,User verify information on {string} screen with following params,screenName (string) DataTable,web_actions_stepdefs.ts,Verifies screen values match DataTable params
When,User verifies field entries on the Payment Method,DataTable,web_actions_stepdefs.ts,Verifies Payment Method screen field entries
When,User verifies field entries on the {string} screen in query mode,objName (string) DataTable,web_actions_stepdefs.ts,Verifies screen fields in query mode
When,enters SSN with criteria {string} in {string} textbox,criteriaName (string) ObjName (string),web_actions_stepdefs.ts,Enters SSN from CSV criteria into textbox
When,User clicks on {string} button,btnName (string),web_actions_stepdefs.ts,Clicks button by name
Given,User is on {string} screen,screenName (string),web_actions_stepdefs.ts,Sets current page and loads locators for screen
When,clicks on {string} button,objName (string),web_actions_stepdefs.ts,Clicks button or interactive element
When,selects {string} text from {string} Drop-down list,optionVal (string) objName (string),web_actions_stepdefs.ts,Selects option by text from dropdown
When,selects {string} from {string} Drop-down list,optionVal (string) objName (string),web_actions_stepdefs.ts,Selects option from dropdown
When,verify {string} text is present on the screen,txtName (string),web_actions_stepdefs.ts,Verifies text is visible on screen
Given,select {string} Checkbox,objName (string),web_actions_stepdefs.ts,Checks checkbox by name
Given,select {string} Checkbox with Wait,objName (string),web_actions_stepdefs.ts,Checks checkbox with wait for element
When,clicks on {string} Radio button,objName (string),web_actions_stepdefs.ts,Clicks radio button
When,verify data from {string} web table,objName (string) DataTable,web_actions_stepdefs.ts,Verifies web table data matches DataTable
When,User verifies information on {string} screen header with following parameters,objName (string) DataTable,web_actions_stepdefs.ts,Verifies screen header info
When,User verify information on {string} screen header with following parameters,objName (string) DataTable,web_actions_stepdefs.ts,Same as above (alternate spelling)
Then,verify alerts displayed on the screen,DataTable,web_actions_stepdefs.ts,Verifies alert messages match DataTable
When,verify information from {string} webtable,objName (string) DataTable,web_actions_stepdefs.ts,Verifies webtable data
Then,User switches to SSIWeb application,,web_actions_stepdefs.ts,Switches browser to SSIWeb app
When,clicks on {string} link,objName (string),web_actions_stepdefs.ts,Clicks link by name
Given,User inputs information on {string} screen with following params,screenName (string) DataTable,web_actions_stepdefs.ts,Inputs data on screen using DataTable
Given,User inputs information on {string} screen with following parameters,screenName (string) DataTable,web_actions_stepdefs.ts,Same as above
Given,User navigates to {string} URL,url (string),web_actions_stepdefs.ts,Navigates to URL and loads page locators
When,user refreshes {string} page,screenName (string),web_actions_stepdefs.ts,Refreshes specified page
When,user refreshes page,,web_actions_stepdefs.ts,Refreshes current page
Given,select Claims Summary Checkbox,,web_actions_stepdefs.ts,Selects Claims Summary checkbox
When,user enters {string} in Employee Job Title field on T2T18 Determinations screen,text (string),web_actions_stepdefs.ts,Enters text in Employee Job Title field
When,delete Lawful Presence status row data,,web_actions_stepdefs.ts,Deletes Lawful Presence row
When,save New Lawful Presence Status row data,,web_actions_stepdefs.ts,Saves new Lawful Presence row
When,User clicks on {string} link on Person Status screen,pageName (string),web_actions_stepdefs.ts,Clicks link on Person Status screen
Given,clicks on Claims Summary button,,web_actions_stepdefs.ts,Clicks Claims Summary button
When,clicks on {string} link with {string} instance,objName (string) instStr (string),web_actions_stepdefs.ts,Clicks link at specific instance
Given,closes the application,,web_actions_stepdefs.ts,Closes browser
When,user fills in birth proof and citizenship information,,web_actions_stepdefs.ts,Fills birth proof and citizenship
When,clicks on {string} Chevron link,objName (string),web_actions_stepdefs.ts,Clicks chevron/expand link
When,verifies status of {string} chevron link and {string} text in textbox,elementName (string) text (string),web_actions_stepdefs.ts,Verifies chevron and textbox text
When,User clicks on {string} link in Claim Development path,pageName (string),web_actions_stepdefs.ts,Clicks link in Claim Development path
When,Select from Person Providing Statement,,web_actions_stepdefs.ts,Selects person providing statement
When,click on save button on Person Statement screen,,web_actions_stepdefs.ts,Saves Person Statement screen
When,Select Person Contacted on Report of Contact screen,,web_actions_stepdefs.ts,Selects person contacted
When,clicks on the Report of Contact OK button,,web_actions_stepdefs.ts,Clicks OK on Report of Contact
When,selects {string},value (string),web_actions_stepdefs.ts,Selects option from various controls
